eventId,cardName,groupName,styleName,eventType,eventSubType,sourceType,titleText,questionText,answerLeft,answerRight,leftFeedback,rightFeedback,left_bodyMind,left_academics,left_relationships,left_economy,right_bodyMind,right_academics,right_relationships,right_economy,left_hiddenDelta,right_hiddenDelta,weight,cardProbability,cooldown,maxDraws,unique,isDrawable,isHighPriority,poolId,conditionExpression,condition_round_min,condition_bodyMind_min,condition_bodyMind_max,condition_academics_min,condition_academics_max,condition_relationships_min,condition_relationships_max,condition_economy_min,condition_economy_max,tags,artPath,triggerNotes,designerNotes,leftSummary,rightSummary,leftOffsetNote,rightOffsetNote,originalRow,nextLeftCardId,nextRightCardId,requiresMetaUnlock,permanentFlagLeft,permanentFlagRight,chainStartLeft,chainStartRight,chainId,chainOrder,isEndingChain,trueEndingConfigId,requiredLifetimeDays,requiredGameOvers
E001,US_E001,Main,cs_None,normal,日常,原有,室友开黑,室友说今晚五排缺一，但你晚上本来打算背单词。,去打一会儿,坚持学习,,,0,-10,10,-5,-5,15,-10,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,宿舍|游戏,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,学业-10；人际+10；经济-5,身心-5；学业+15；人际-10；经济+5,上升：人际；下降：学业、经济,上升：学业、经济；下降：身心、人际,2,,,,,,,,,,,,,
E005,US_E005,Main,cs_None,normal,日常,原有,朋友失恋,朋友发来消息，说自己在操场坐了很久。,去陪朋友,先完成作业,,,-5,-10,15,-5,0,10,-15,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,社交|真实自我,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-5；学业-10；人际+15；经济-5,学业+10；人际-15；经济+5,上升：人际；下降：身心、学业、经济,上升：学业、经济；下降：人际,6,,,,,,,,,,,,,
E006,US_E006,Main,cs_None,normal,日常,原有,兼职邀请,校外兼职临时缺人，报酬不错，但会占用整晚时间。,接下兼职,拒绝兼职,,,-10,-5,0,15,10,10,0,-10,,,1,1,4,100,false,true,false,main,,,,,,,,,,,经济,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-10；学业-5；经济+15,身心+10；学业+10；经济-10,上升：经济；下降：身心、学业,上升：身心、学业；下降：经济,7,,,,,,,,,,,,,
E008,US_E008,Main,cs_None,normal,日常,原有,校园比赛,一个比赛正在报名，主题和你的兴趣有关，但准备时间很紧。,报名参赛,暂时观望,,,-10,10,5,-5,5,-5,0,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,真实自我,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-10；学业+10；人际+5；经济-5,身心+5；学业-5；经济+5,上升：学业、人际；下降：身心、经济,上升：身心、经济；下降：学业,9,,,,,,,,,,,,,
E010,US_E010,Main,cs_None,normal,日常,原有,电脑崩溃,你正在写作业，电脑突然卡死，文件还没保存。,重头开始做,直接休息,,,-10,10,0,-5,10,-10,0,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,普通,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-10；学业+10；经济-5,身心+10；学业-10；经济+5,上升：学业；下降：身心、经济,上升：身心、经济；下降：学业,11,,,,,,,,,,,,,
E011,US_E011,Main,cs_None,normal,日常,原有,体测通知,体测时间公布了，你突然想起自己很久没运动。,不管了随缘,临时抱佛脚,,,-10,0,0,5,10,-5,-5,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,身心|真实自我,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-10；经济+5,身心+10；学业-5；人际-5；经济+5,上升：经济；下降：身心,上升：身心、经济；下降：学业、人际,12,,,,,,,,,,,,,
E012,US_E012,Main,cs_None,normal,日常,原有,课堂展示,下周要做课程展示，你可以选择稳妥完成，也可以做一个更有创意的版本。,稳妥完成,做创意版,,,-5,10,5,-5,-10,15,10,-5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,课程,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-5；学业+10；人际+5；经济-5,身心-10；学业+15；人际+10；经济-5,上升：学业、人际；下降：身心、经济,上升：学业、人际；下降：身心、经济,13,,,,,,,,,,,,,
E013,US_E013,Main,cs_None,normal,日常,原有,室友作息,室友深夜还在外放视频，你明天早上有课。,直接沟通,忍一下,,,5,5,-5,0,-10,-5,5,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,宿舍|课程,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心+5；学业+5；人际-5,身心-10；学业-5；人际+5；经济+5,上升：身心、学业；下降：人际,上升：人际、经济；下降：身心、学业,14,,,,,,,,,,,,,
E014,US_E014,Main,cs_None,normal,日常,原有,学长内推,学长说有个实习机会可以内推，但你还没准备好简历。,立刻准备,以后再说,,,-10,10,5,5,5,-10,-5,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,普通,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-10；学业+10；人际+5；经济+5,身心+5；学业-10；人际-5；经济+5,上升：学业、人际、经济；下降：身心,上升：身心、经济；下降：学业、人际,15,,,,,,,,,,,,,
E018,US_E018,Main,cs_None,normal,日常,原有,朋友借钱,朋友说生活费还没到账，想先向你借一点钱。,借给对方,婉拒,,,0,0,10,-15,5,0,-10,5,,,1,1,4,100,false,true,false,main,,,,,,,,,,,社交|经济,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,人际+10；经济-15,身心+5；人际-10；经济+5,上升：人际；下降：经济,上升：身心、经济；下降：人际,19,,,,,,,,,,,,,
E019,US_E019,Main,cs_None,normal,日常,原有,校园讲座,晚上有一场讲座，主题很有价值，但你今天已经很累了。,去听讲座,回宿舍休息,,,-10,10,5,0,10,-5,0,0,,,1,1,4,100,false,true,false,main,,,,,,,,,,,普通,,最终48张日常卡池；权重1，冷却4轮；无条件门槛,最终48张重平衡数值；最终48张重平衡数值,身心-10；学业+10；人际+5,身心+10；学业-5,上升：学业、人际；下降：身心,上升：身心；下降：学业,20,,,,,,,,,,,,,
