GroupName;CardName;StyleName;EventScript.titleText;EventScript.questionText;EventScript.answerLeft;EventScript.answerRight;EventScript.answerUp;EventScript.answerDown
Main;US_E001;cs_None;室友开黑;室友说今晚五排缺一，但你晚上本来打算背单词。;去打一会儿;坚持学习;;
Main;US_E005;cs_None;朋友失恋;朋友发来消息，说自己在操场坐了很久。;去陪朋友;先完成作业;;
Main;US_E006;cs_None;兼职邀请;校外兼职临时缺人，报酬不错，但会占用整晚时间。;接下兼职;拒绝兼职;;
Main;US_E008;cs_None;校园比赛;一个比赛正在报名，主题和你的兴趣有关，但准备时间很紧。;报名参赛;暂时观望;;
Main;US_E010;cs_None;电脑崩溃;你正在写作业，电脑突然卡死，文件还没保存。;重头开始做;直接休息;;
Main;US_E011;cs_None;体测通知;体测时间公布了，你突然想起自己很久没运动。;不管了随缘;临时抱佛脚;;
Main;US_E012;cs_None;课堂展示;下周要做课程展示，你可以选择稳妥完成，也可以做一个更有创意的版本。;稳妥完成;做创意版;;
Main;US_E013;cs_None;室友作息;室友深夜还在外放视频，你明天早上有课。;直接沟通;忍一下;;
Main;US_E014;cs_None;学长内推;学长说有个实习机会可以内推，但你还没准备好简历。;立刻准备;以后再说;;
Main;US_E018;cs_None;朋友借钱;朋友说生活费还没到账，想先向你借一点钱。;借给对方;婉拒;;
Main;US_E019;cs_None;校园讲座;晚上有一场讲座，主题很有价值，但你今天已经很累了。;去听讲座;回宿舍休息;;
Main;US_E020;cs_None;感冒前兆;你感觉喉咙有点痛，但明天满课;明天请假不去;继续硬撑;;
Main;US_E022;cs_None;早八占座;室友给你带早餐让你帮他占后排，但只有一个座位了;帮他占座;自己坐;;
Main;US_E024;cs_None;外卖超时;外卖超时未达，但你快准备去上课了;等不了了;人是铁饭是钢;;
Main;US_E026;cs_None;社团例会;社团临时加开例会，你本打算去图书馆准备第二天的考试。;参加例会;复习考试;;
Main;US_E027;cs_None;操场散步;你暗恋的人约你单独去操场散步，你很紧张。;去;不去;;
Main;US_E034;cs_None;班级投票;班级评优投票，你的好朋友和另一个同学竞争。;朋友最大;同学确实更好;;
Main;US_E036;cs_None;课堂作业;老师突然布置量不小的课堂作业，你正在宿舍和朋友双排;课后补交;找人帮忙;;
Main;US_E038;cs_None;论文查重;选修课论文查重率超了，距离截止只剩一小时。;花钱降重;不管了先交;;
Main;US_E042;cs_None;选修退课;选修课虽然给分高但事情多、压力大、自己也没兴趣;为了学分拼了;麻烦但退课;;
Main;US_E043;cs_None;社团竞选;社团部长竞选，你准备了很久但很紧张。;下次再说;试一试;;
Main;US_E046;cs_None;外卖点错;外卖点成了不会吃的辣口;好饿先硬吃吧;重新送一份;;
Main;US_E048;cs_None;深夜恍惚;夜里看手机不知不觉到了一点，困意已全无，但明早有早八;快睡吧;看到困了再睡;;
Main;US_E049;cs_None;演唱会之夜;今晚有你喜欢的乐队的演出，你早早抢到了票，却发现和一节专业课冲突了，而专业课的老师是你亲戚的朋友;还是去上课吧;听演出是对的;;
Main;US_E051;cs_None;我已急哭;你放在宿舍的一包零食不见了，你严重怀疑是你上铺的同学拿走的！但你并不确定他是不是拿错了;忍不了我质问;算了吧我沉默;;
Main;US_E052;cs_None;说实话没办法;晚上本来打算只玩一会游戏，结果框框连胜上了好多分，明明再赢两局就能上一个大段，却开始输赢输赢怎么也上不去;我已上头今天必须上分;我已力竭算了明天再打;;
Main;US_E053;cs_None;网线另一端的你;和你一起打游戏的固玩突然说要来你的城市找你，你有点纠结是否要线下见面招待一下对方;我想还是算了吧;没准会成为一生的好朋友？;;
Main;US_E054;cs_None;板面～;同学叫你去吃自助餐，最想吃的一集，然而如果你去了这个月接下来的几天就要吃土了;我好吃自助餐这一块;对不起我只喝冰露不吃饭;;
Main;US_E055;cs_None;我愤怒;已经是深夜了，楼上的宿舍还在发出喧嚣的吵闹声，你的舍友已经忍无可忍，拿着刀就要上楼，你想要跟着他一起，又害怕摊上事……;开团秒跟;我装睡;;
Main;US_E056;cs_None;我逃课;早八的大英太讨厌了，你想要一睡到底，但又怕老师点名;我逃课;我屈服;;
Main;US_E057;cs_None;我哭泣;最近过的好糟糕，妈妈打电话时感受到了你的抑郁情绪，想要来看你一趟，但你又不想让妈妈太麻烦;我没事;妈妈我好想你;;
Main;US_E058;cs_None;社交纠结;附近商场将要有一场你很关注的漫展，但你找不到一起去的朋友，你在犹豫要不要发个朋友圈问问有没有一起去的人;自己去吧;找个伴不错;;
Main;US_E059;cs_None;我装扮;衣柜里的衣服虽然穿着还挺舒服，但款式太基础也太少了，你在考虑要不要买点衣服打扮一下自己;我购买;我不够买;;
Main;US_E060;cs_None;否定;讨厌你的舍友，但你又不敢说，有一天忍无可忍你写了一篇长文吐槽你的舍友，犹豫要不要发在匿名墙;爆！;算了算了都哥们……;;
Main;US_E062;cs_None;运动会;学校马上要举办运动会了，你高中时曾拿过很多奖项，但你不确定现在身体是否还能像之前一样强壮......;老兵不死我要报名;算了吧别丢人现眼;;
Main;US_E063;cs_None;同学聚餐;宿舍里几个同学商量要去一起聚餐，但是聚餐的地方似乎是个比较高级的饭店，你怕经济负担会有点大;还是去吧;算了我穷;;
Main;US_E064;cs_None;父母电话;妈妈问你最近成绩怎么样，又顺口提起表哥已经开始准备考研。;报喜不报忧;说说真实情况;;
Main;US_E065;cs_None;亲戚比较;亲戚在群里问你以后打算去哪工作，话里话外都在比较。;顺着说几句;把话题岔开;;
Main;US_E068;cs_None;考前押题;同学神神秘秘发来一份“高命中押题”，群里已经传开了。;跟着押一把;按计划复习;;
Main;US_E069;cs_None;作弊诱惑;考试前排同学回头小声说，待会儿可以互相照应一下。;默认配合;装作没听见;;
Main;US_E070;cs_None;医务室排队;你低烧了一上午，医务室门口排着长队，下午还有课。;排队看病;回去睡会;;
Main;US_E072;cs_None;朋友求助;朋友临时让你帮他改 PPT，说真的只占用你一点点时间。;帮到半夜;拒绝一次;;
Main;US_E074;cs_None;二手出物;你翻出一台闲置设备，卖掉能回血，但总觉得以后可能用得上。;挂到二手群;先留着;;
Main;US_E075;cs_None;课表重排;下学期选课开始了，一门课有趣但给分未知，另一门课稳妥但无聊。;按兴趣选;按绩点选;;
Main;US_E078;cs_None;竞赛奖金;一个校级比赛奖金不低，但报名后这两周都要赶材料。;冲一笔奖金;保住节奏;;
Main;US_E079;cs_None;记账软件;你发现这个月花销有点失控，手机里躺着一个很久没打开的记账软件。;认真记账;眼不见心不烦;;
Main;US_E083;cs_None;家教机会;同学介绍了一个周末家教，钱不少，但路程很远。;接下家教;留出周末;;
Main;US_E084;cs_None;周末补觉;周末上午没有课，你第一次醒来时天已经亮了，手机里还有几条未读消息。;继续补觉;起床处理;;
